대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
경기도 수원시 영통구 매탄동 1-1번지,41117,10100,0,0001,0001,10841100294727,1,일반,1,총괄표제부,1,신대장,,매탄동 고속주유소,,,,0,,,0,,,2270,914.3,40.28,1068.08,1068.08,47.05,19000,위험물저장및처리시설,"위험물저장및처리시설,제1,2종근린생활시설,자동차관련시설",0,0,4,0,0,6,0,0,0,0,0,0,6,69,20130404,20130417,20140117,2013,5610006,건축과,1102,1102,0,,0,0,,0,,0,20220909
경기도 수원시 영통구 매탄동 50번지,41117,10100,0,0050,0000,10841236865,2,집합,1,총괄표제부,0,구대장,경기도 수원시 영통구 매봉로27번길 11 (매탄동),극동아파트,,,,0,411174331034,10101,0,11,,11729,2857.1,24.36,28260.02,20921.34,178.37,02000,공동주택,공동주택(아파트),210,0,6,7,5742.14,253,0,0,0,0,172,5121.22,81,985.8,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 영통구 매탄동 101-56번지,41117,10100,0,0101,0056,10841236866,2,집합,1,총괄표제부,0,구대장,경기도 수원시 영통구 동수원로 491-11 (매탄동),선우장미연립주택,,,,0,411173175016,10101,0,491,11,5211.8,2008.26,38.53,10743.74,7819.08,150.39,02000,공동주택,연립주택,88,0,3,2,992.48,65,0,0,0,0,42,971.19,23,264.5,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 영통구 매탄동 111-164번지,41117,10100,0,0111,0164,10841236843,1,일반,1,총괄표제부,1,신대장,경기도 수원시 영통구 산남로 86 (매탄동),산남초등학교,,,,0,411173177008,10101,0,86,,11008,3018.59,27.42,9632.6,9494.9,86.25,10000,교육연구시설,교육연구시설(초등학교),0,0,3,1,8.12,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20250605
경기도 수원시 영통구 매탄동 153-20번지,41117,10100,0,0153,0020,10841236918,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,0,0,472,233.62,49.495762,456.73,411.94,87.28,11000,노유자시설,"근린생활시설, 노유자시설",0,0,2,0,0,0,0,0,0,0,0,0,0,0,20050125,,20050127,2005,5610006,건축과,1207,1207,0,,0,0,,0,,0,20220909
경기도 수원시 영통구 매탄동 153-82번지,41117,10100,0,0153,0082,10841236941,1,일반,1,총괄표제부,1,신대장,경기도 수원시 영통구 매여울로61번길 21 (매탄동),,,,,0,411174331043,10101,0,21,0,251,134.81,53.71,134.81,134.81,53.71,04000,제2종근린생활시설,"제1,2종근린생활시설",0,0,2,1,8,0,0,0,0,0,0,0,0,0,19770518,,19771208,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 영통구 매탄동 154-1번지,41117,10100,0,0154,0001,10841100176512,1,일반,1,총괄표제부,1,신대장,경기도 수원시 영통구 중부대로246번길 14 (매탄동),S서울병원,,,,0,411174328316,10101,0,14,0,4036,1534.47,38.02,5696.54,4475.13,110.88,09000,의료시설,"의료시설, 제1,2종근린생활시설",0,0,2,0,0,46,0,0,0,0,20,1148.49,26,299,20070718,20070723,20080226,2007,3740058,건축과,1101,1101,0,,0,61,,0,,0,20220909
경기도 수원시 영통구 매탄동 157번지,41117,10100,0,0157,0000,10841100275067,1,일반,1,총괄표제부,1,신대장,,매화초등학교,,,,0,,,0,0,0,13434,3504.71,26.088357,10684.66,10558.78,78.597439,10000,교육연구시설,교육연구시설(초등학교),0,0,2,0,0,46,0,0,0,0,0,0,46,539,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 영통구 매탄동 164-10번지,41117,10100,0,0164,0010,10841236867,2,집합,1,총괄표제부,0,구대장,경기도 수원시 영통구 권광로290번길 34-18 (매탄동),우성아파트,,,,0,411174328099,10101,0,34,18,5527.64,1828.67,33.08,24938.67,19597.9,354.54,02000,공동주택,"공동주택(아파트), 생활편익시설",230,0,2,6,4683.57,187,0,0,0,0,118,3751.34,69,759,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 영통구 매탄동 164-15번지,41117,10100,0,0164,0015,10841236844,1,일반,1,총괄표제부,0,구대장,경기도 수원시 영통구 권광로290번길 18-1 (매탄동),,,,,0,411174328099,10101,0,18,1,294,155.79,52.99,658.08,602.7,205,01000,단독주택,"단독주택[17가구], 제2종근린생활시설",0,17,2,0,0,5,0,0,0,0,1,28.63,4,46,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 영통구 매탄동 176번지,41117,10100,0,0176,0000,10841236958,2,집합,1,총괄표제부,1,신대장,경기도 수원시 영통구 권광로260번길 36 (매탄동),현대힐스테이트아파트,,,,5,411174328095,10101,0,36,0,95025.1,18627.191,19.6,330109.006,266413.2,280.36,02000,공동주택,"공동주택(아파트)근린생활시설,유치원,학원,교회",2328,0,38,25,64033.66,2595,0,0,0,0,2022,61046.611,573,0,20020709,20030705,20060227,2002,,,2101,2101,0,,0,0,,0,,0,20260320
경기도 수원시 영통구 매탄동 194-4번지,41117,10100,0,0194,0004,10841236868,2,집합,1,총괄표제부,1,신대장,경기도 수원시 영통구 매여울로53번길 31 (매탄동),재왕아트빌,,,,0,411174331041,10101,0,31,,2597,755.538,29.092,9145.0934,7143.8558,275.081,02000,공동주택,"공동주택[아파트], 제1,2종근린생활시설",88,0,2,0,0,77,0,0,0,0,65,1679.5201,12,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 영통구 매탄동 196-6번지,41117,10100,0,0196,0006,10841100260033,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,0,0,269.5,161.53,59.94,515.01,470.55,174.6,04000,제2종근린생활시설,사무소,0,0,2,0,0,1,0,0,0,0,1,11.5,0,0,20120621,,20120813,2012,5610006,건축과,1202,1202,0,,0,0,,0,,0,20220909
경기도 수원시 영통구 매탄동 209-24번지,41117,10100,0,0209,0024,10841100214046,1,일반,1,총괄표제부,1,신대장,경기도 수원시 영통구 매원로12번길 15 (매탄동),,,,,0,411174331067,10101,0,15,0,587.9,315.42,53.65,838.22,777.02,132.17,11000,노유자시설,노유자시설,0,0,2,0,0,4,0,0,0,0,0,0,4,46,20090520,20090727,20091019,2009,5610006,건축과,1102,1102,0,,0,0,,0,,0,20220909
