대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
경기도 수원시 장안구 정자동 888-2번지,41111,13000,0,0888,0002,10841221,2,집합,1,총괄표제부,1,신대장,경기도 수원시 장안구 대평로39번길 8 (정자동),꽃뫼노을마을 대동아파트,,,,0,411114322069,13001,0,8,0,9739.2,1869.67,19.19,29391.01,22369.74,229.69,02000,공동주택,"공동주택, 근린생활시설",292,0,4,5,5950.75,295,0,0,0,0,193,5391,102,1171,19961126,19961212,20000726,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 정자동 900-1번지,41111,13000,0,0900,0001,10841377,2,집합,1,총괄표제부,1,신대장,경기도 수원시 장안구 덕영대로639번길 70 (정자동),,,,,0,411114328483,13001,0,70,0,6184.2,1227.7,19.85,17851.33,14258.34,230.56,02000,공동주택,"공동주택(아파트), 생활편익시설(상가)",188,0,4,5,2672.27,190,0,0,0,0,86,2208.54,104,1226,19961122,19961217,19990816,1996,3750028,건축과,1101,1101,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 정자동 913번지,41111,13000,0,0913,0000,10841222,2,집합,1,총괄표제부,0,구대장,경기도 수원시 장안구 천천로74번길 35 (정자동),북수원 리버파크,,,,0,411114322370,13001,0,35,0,31066.6,4686.347,15.08,66053.805,65553.104,211.01,02000,공동주택,"공동주택(아파트), 근린생활시설",805,0,9,7,11371.877,809,0,0,0,0,403,10333.956,406,4729,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 정자동 914번지,41111,13000,0,0914,0000,10841223,2,집합,1,총괄표제부,0,구대장,경기도 수원시 장안구 천천로74번길 92 (정자동),대월마을대림진흥아파트,,,,0,411114322370,13001,0,92,,26877.6,3612.252,13.44,60088.3418,57499.0514,213.93,02000,공동주택,"공동주택, 근린생활시설",534,0,7,8,11671.4015,682,0,0,0,0,391,71447.736634,291,3346.5,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 정자동 918번지,41111,13000,0,0918,0000,10841224,2,집합,1,총괄표제부,1,신대장,경기도 수원시 장안구 만석로20번길 25 (정자동),청솔마을 SK한화아파트,,,,0,411114322090,13001,0,25,,34057.7,4225.5839,12.41,91114.5988,74981.6372,220.16,02000,공동주택,공동주택,520,0,7,12,13178.61,894,0,0,0,0,536,12056.745,358,4117,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 정자동 919번지,41111,13000,0,0919,0000,10841225,2,집합,1,총괄표제부,1,신대장,경기도 수원시 장안구 만석로20번길 28 (정자동),청솔마을 한라 아파트,,,,0,411114322090,13001,0,28,,32199.1,5812.067,18.05,70256.681,70256.681,218.19,02000,공동주택,"공동주택(아파트), 상가(근린생활시설)",845,0,10,10,18113.076,857,0,0,0,0,608,11164.58,249,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 장안구 정자동 922번지,41111,13000,0,0922,0000,10841226,2,집합,1,총괄표제부,1,신대장,경기도 수원시 장안구 천천로21번길 33 (정자동),화서역 위너스 파크,,,,0,411114322366,13001,0,33,,29476,4676.93,15.87,70022.031,63604.538,215.78,02000,공동주택,"공동주택(아파트), 상가(근린생활시설)",583,0,8,6,6717.461,646,0,0,0,0,236,5717.605,410,5360.07,,,,,,,,,0,,0,0,,0,,0,20240109
경기도 수원시 장안구 정자동 923번지,41111,13000,0,0923,0000,10841100466353,1,일반,1,총괄표제부,1,신대장,경기도 수원시 장안구 천천로21번길 11 (정자동),효천초등학교,,,,0,411114322366,13001,0,11,,12311.9,2753.82,22.37,8626.84,7996.84,64.95,10000,교육연구시설,교육연구 시설 및 복지시설,0,0,2,2,60.28,32,0,0,0,0,0,0,32,368,20001005,20001009,20020125,,,,,,0,,0,0,,0,,0,20230926
경기도 수원시 장안구 정자동 937번지,41111,13000,0,0937,0000,10841151,1,일반,1,총괄표제부,1,신대장,,동남보건대학교,,,,9,,,,,,66169.6,13230.08,19.99,81481.74,65765.64,99.39,10000,교육연구시설,대학교,0,0,15,14,0,358,0,0,0,0,158,0,277,0,19711204,,19730704,,,,,,0,,0,0,,0,,0,20251125
경기도 수원시 장안구 정자동 945번지,41111,13000,0,0945,0000,10841100277087,2,집합,1,총괄표제부,1,신대장,,수원 SK SKY VIEW,,,,0,,,0,0,0,184421.3,23371.234,12.67,595218.63,420774.53,228.16,02000,공동주택,아파트,3498,0,30,11,174512.5,4820,0,0,0,0,4820,0,0,0,20100512,20100601,20130527,2010,3740147,주택정책과,2101,2101,72,2,37.31,0,2,72.12,,0,20220909
