시군명,공동주택구분,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부
가평군,아파트,가평블루핀,가평읍 읍내리,766-3,2019-09-27,19,2,119,N
가평군,아파트,가평우림필유,가평읍 대곡리,360,2006-12-26,15,2,190,Y
가평군,아파트,가평읍내주공아파트,가평읍 읍내리,270,1999-11-19,12,5,355,N
가평군,아파트,가평읍내휴먼시아2단지,가평읍 읍내리,234,2010-08-30,13,6,335,N
가평군,아파트,가평자이,가평읍 대곡리,694,2023-08-16,27,6,505,Y
가평군,아파트,가평코아루,가평읍 읍내리,1053,2021-11-09,20,3,221,Y
가평군,아파트,가평파란채,가평읍 읍내리,771-1,2007-11-01,15,3,243,Y
가평군,연립,개나리연립,가평읍 읍내리,266-5,1990-12-15,4,1,24,N
가평군,연립,동일국민주택,청평면 청평리,306-3 외1,1987-08-13,3,3,42,N
가평군,아파트,로얄아파트,청평면 청평리,626-8 외2,2007-05-01,11,2,54,N
가평군,연립,르메이에르 청평빌라,설악면 회곡리,428-1 외1,2006-11-09,4,4,48,N
가평군,연립,보납빌라,가평읍 읍내리,641 외1,1989-12-08,3,1,21,N
가평군,연립,보인빌라,가평읍 읍내리,329-9 외1,1986-10-18,3,1,36,N
가평군,아파트,북한강코아루,설악면 선촌리,663,2014-04-02,19,4,237,Y
가평군,아파트,샌트럴파크더스카이,가평읍 읍내리,457-5,2022-08-30,28,2,168,Y
가평군,아파트,선힐하이뷰아파트,가평읍 대곡리,402-1,2008-05-28,15,3,180,Y
가평군,아파트,설악 디엘본아파트,설악면 신천리,911,2025-07-30,23,6,420,Y
가평군,아파트,세대넥스빌아파트,가평읍 달전리,281,1996-02-29,18,1,138,N
가평군,아파트,송안아파트,가평읍 읍내리,837-1,2009-10-08,10,1,54,N
가평군,아파트,신초아파트,가평읍 달전리,285-1 외1,1993-09-21,11,2,89,N
가평군,연립,아산빌리지,청평면 청평리,319-7 외8,1999-03-22,4,5,164,N
가평군,아파트,에덴아파트,가평읍 읍내리,292-7,1991-08-21,5,1,40,N
가평군,아파트,에덴아파트,청평면 상천리,24,1991-10-25,5,2,70,N
가평군,아파트,유성아파트,가평읍 달전리,339,1993-12-29,6,2,84,N
가평군,아파트,이편한세상 가평 퍼스트원,가평읍 대곡리,695,2023-08-30,29,5,472,Y
가평군,아파트,임성아파트,조종면 현리,232-2,1994-12-07,10,1,47,N
가평군,연립,조종국민주택,조종면 현리,306-4,1987-11-02,3,1,21,N
가평군,아파트,준수아파트,가평읍 읍내리,637 외1,1992-11-12,6,2,126,N
가평군,다세대,준일아파트,가평읍 읍내리,423-6 외1,1983-05-12,3,3,36,N
가평군,아파트,중앙아파트,가평읍 읍내리,537-1,1990-09-11,5,2,50,N
가평군,아파트,청수아파트,청평면 청평리,634-2 외2,1992-10-31,5,5,111,N
가평군,연립,청아빌라 2차(연립),설악면 선촌리,25-1,2008-08-07,4,7,160,N
가평군,연립,청아빌라(연립),설악면 송산리,697 외3,2004-09-06,4,4,76,N
가평군,아파트,청평경남아너스빌,청평면 청평리,306,2008-02-28,15,5,217,Y
가평군,연립,청평국민주택,청평면 청평리,198,1985-09-05,3,2,24,N
가평군,연립,청평라폴리움,설악면 선촌리,292-2,2009-12-22,4,4,32,N
가평군,아파트,청평삼성쉐르빌,청평면 청평리,837,2012-06-14,15,7,405,Y
가평군,아파트,청평세양청마루,청평면 청평리,472,2007-05-30,15,6,283,Y
가평군,아파트,청평이안지안스,청평면 청평리,657-1,2018-01-31,18,4,243,Y
가평군,아파트,청평한일청구,청평면 청평리,470-37,1998-08-05,20,4,354,Y
가평군,아파트,태광아파트,가평읍 대곡리,285-6 외1,1992-04-14,6,2,96,N
가평군,연립,태양빌라,조종면 현리,222-12 외3,1988-02-12,3,5,72,N
가평군,아파트,형진아파트,가평읍 읍내리,681-3 외2,1991-12-28,13,1,95,N
가평군,아파트,힐스테이트 가평 더뉴클래스,가평읍 읍내리,214,2023-11-27,23,6,451,Y
고양시,아파트,DMC 두산위브더퍼스트,덕양구 향동동,405-0,2020-10-05,23,9,1059,Y
고양시,아파트,DMC 디에트르한강,덕양구 덕은동,683-0,2022-07-04,24,7,622,Y
고양시,아파트,DMC 리슈빌더포레스트,덕양구 향동동,570-0,2019-02-19,20,16,969,Y
고양시,아파트,DMC 자이더리버,덕양구 덕은동,686-0,2022-11-28,24,6,702,Y
고양시,아파트,DMC 중흥S-클래스더센트럴,덕양구 향동동,501-0,2020-03-19,29,10,951,Y
고양시,아파트,DMC 하우스디NHF,덕양구 향동동,517-0,2019-07-26,29,4,403,N
고양시,아파트,DMC 한강숲중흥S-CLASS,덕양구 덕은동,658-0,2022-09-29,22,12,894,Y
고양시,아파트,DMC 한강에일린의뜰 주상복합,덕양구 덕은동,698-0,2022-07-06,27,2,206,Y
고양시,아파트,DMC 한강자이더헤리티지,덕양구 덕은동,679-0,2022-11-28,24,7,620,Y
고양시,아파트,DMC 한강호반써밋,덕양구 덕은동,596,2022-12-13,23,5,560,Y
고양시,아파트,DMC 해링턴플레이스NHF,덕양구 향동동,421-0,2019-07-11,21,15,1521,N
고양시,아파트,DMC 호반베르디움더포레 2단지,덕양구 향동동,571-0,2019-06-27,21,7,461,Y
고양시,아파트,DMC 호반베르디움더포레 3단지,덕양구 향동동,557-0,2019-06-27,29,8,716,Y
고양시,아파트,DMC 호반베르디움더포레 4단지,덕양구 향동동,552-0,2019-06-27,29,10,970,Y
고양시,아파트,DMC자이 더 포레리버뷰,덕양구 덕은동,593-0,2022-10-27,24,5,318,Y
고양시,아파트,DMC한강 삼정그린코아 더베스트,덕양구 덕은동,710-0,2023-09-19,25,5,366,Y
고양시,연립,GL타운연립,일산동구 식사동,1519-0,2018-11-27,5,6,100,N
고양시,아파트,SM마이다스 주상복합,덕양구 화정동,977-1,2001-11-06,18,1,93,N
고양시,아파트,e편한세상 시티 원당,덕양구 성사동,876-0,2024-11-26,20,1,100,N
고양시,아파트,가좌마을 1단지(양우 내안애),일산서구 가좌동,1090-0,2005-10-26,19,5,459,Y
고양시,아파트,가좌마을 2단지(대우 푸르지오),일산서구 가좌동,1089-0,2005-07-26,20,13,1210,Y
고양시,아파트,가좌마을 3단지(벽산 블루밍),일산서구 가좌동,1088-0,2002-10-14,19,8,782,Y
고양시,아파트,가좌마을 5단지(벽산 블루밍),일산서구 가좌동,1087-0,2005-09-22,20,16,951,Y
고양시,아파트,가좌마을 6단지(벽산 블루밍),일산서구 가좌동,1086-0,2005-09-22,20,15,989,Y
고양시,아파트,가좌마을 7단지(한화 꿈에그린),일산서구 가좌동,1105-0,2010-03-29,20,8,545,Y
고양시,아파트,강선마을 10단지(한양) (주상복합),일산서구 주엽동,75-0,1998-04-04,21,2,312,Y
고양시,아파트,강선마을 11단지(태영) (주상복합),일산서구 주엽동,73-0,1994-12-09,23,2,344,Y
고양시,아파트,강선마을 12단지(두진) (주상복합),일산서구 주엽동,83-0,1994-05-28,22,2,309,Y
고양시,아파트,강선마을 13단지(뉴서울) (주상복합),일산서구 주엽동,81-0,1995-03-04,24,2,288,Y
고양시,아파트,강선마을 14단지(두산),일산서구 주엽동,101-0,1994-03-30,25,9,792,Y
고양시,아파트,강선마을 15단지(보성),일산서구 주엽동,84-0,1993-12-02,23,9,604,Y
고양시,아파트,강선마을 16단지(동문),일산서구 주엽동,86-0,1993-09-28,15,7,390,Y
고양시,아파트,강선마을 17단지(동성),일산서구 주엽동,90-0,1994-01-07,17,8,476,Y
고양시,아파트,강선마을 19단지(우성),일산서구 주엽동,98-0,1994-03-30,25,7,412,Y
고양시,아파트,강선마을 1단지(대우벽산),일산서구 주엽동,36-0,1994-07-29,23,10,520,Y
고양시,아파트,강선마을 2단지(경남),일산서구 주엽동,38-0,1994-10-28,20,10,620,Y
고양시,아파트,강선마을 3단지(한신),일산서구 주엽동,43-0,1994-05-06,19,7,538,Y
고양시,아파트,강선마을 4단지(동신),일산서구 주엽동,46-0,1993-08-30,18,10,624,Y
고양시,아파트,강선마을 5단지(건영동부),일산서구 주엽동,49-0,1994-01-27,18,10,528,Y
고양시,아파트,강선마을 6단지(금호한양),일산서구 주엽동,50-0,1994-08-01,25,12,556,Y
고양시,아파트,강선마을 7단지(유원삼환),일산서구 주엽동,65-0,1993-10-25,25,12,816,Y
고양시,아파트,"강선마을 8단지(럭키,롯데)",일산서구 주엽동,63-0,1993-11-26,18,12,966,Y
고양시,아파트,강선마을 9단지(화성),일산서구 주엽동,60-0,1993-05-29,19,10,860,Y
고양시,아파트,강촌마을 1단지(동아),일산동구 마두동,757-0,1992-10-30,21,15,720,Y
고양시,아파트,강촌마을 2단지(한신),일산동구 마두동,783-0,1993-03-27,25,15,608,Y
고양시,아파트,강촌마을 3단지(진흥미도파),일산동구 마두동,787-0,1992-10-30,22,12,590,Y
고양시,아파트,강촌마을 5단지(1차)(라이프),일산동구 마두동,789-0,1992-10-30,15,11,760,Y
고양시,아파트,강촌마을 5단지(2차)(라이프),일산동구 마두동,789-0,1993-12-30,26,11,798,Y
고양시,아파트,강촌마을 6단지 (주상복합)(한양),일산동구 마두동,806-0,1998-04-01,19,2,494,Y
고양시,아파트,"강촌마을 7단지(선경,코오롱)",일산동구 마두동,796-0,1993-06-29,22,14,702,Y
고양시,아파트,강촌마을 8단지(우방),일산동구 마두동,794-0,1993-02-20,20,15,766,Y
고양시,아파트,개나리아파트,덕양구 성사동,415-0,1987-04-22,5,3,175,N
고양시,아파트,고양 대림 2차,덕양구 토당동,259-0,1997-07-28,15,8,640,Y
고양시,아파트,고양 삼성아파트,덕양구 고양동,197-0,1998-11-11,23,3,282,Y
고양시,아파트,고양 우방유쉘아파트,덕양구 고양동,454-0,2007-06-13,23,8,443,Y
고양시,아파트,고양 윤창아파트,덕양구 고양동,"414-17,-1",1997-08-20,18,4,299,Y
고양시,아파트,고양 지축 위스테이,덕양구 지축동,940-0,2022-02-03,20,6,539,N
고양시,아파트,고양 청구아파트,덕양구 고양동,399-0,1997-10-30,18,2,168,Y
고양시,아파트,고양 현대아파트,덕양구 고양동,"240-6, 255",1997-11-21,20,8,791,Y
고양시,아파트,고양장항LH1단지 행복주택,일산동구 장항동,626-20,2025-06-19,28,6,1242,N
고양시,아파트,관산 새서울아파트,덕양구 관산동,178-57,1987-07-24,5,5,401,Y
고양시,아파트,관산 신성아파트,덕양구 관산동,981-0,1998-05-29,20,5,320,Y
고양시,아파트,관산 유승아파트,덕양구 관산동,"126-0, 137-1",2000-04-29,25,4,218,Y
고양시,아파트,관산 윤창 5차아파트,덕양구 관산동,134-0,1989-11-29,5,1,45,N
고양시,아파트,관산 주공그린빌,덕양구 관산동,996-0,2003-10-20,18,16,1192,Y
고양시,연립,관산 허스연립(다동),덕양구 관산동,190-3,1985-06-22,3,1,24,N
고양시,연립,관산 허스연립(라동),덕양구 관산동,190-4,1985-06-22,3,1,33,N
고양시,연립,국민연립(우편X),일산서구 일산동,586-12,1984-11-29,3,2,24,N
고양시,아파트,그린빌아파트,덕양구 토당동,861-0,2001-11-22,9,1,34,N
고양시,아파트,금호프라자,덕양구 토당동,282-2,2000-05-22,14,1,86,N
고양시,아파트,까뮤이스테이트 주상복합,일산서구 탄현동,170-2,2019-07-15,15,1,91,N
고양시,연립,네이처연립,일산서구 가좌동,158-2,2021-01-04,4,1,78,N
고양시,아파트,능곡 내안애양우아파트,덕양구 토당동,250-0,2005-06-03,23,5,296,Y
고양시,아파트,능곡 대림아파트,덕양구 토당동,860-0,1996-02-24,15,3,204,Y
고양시,아파트,능곡 삼윤아파트,덕양구 토당동,879-0,1991-11-30,13,2,249,Y
고양시,아파트,능곡 풍림아이원 1단지(2단지와 묶어서),덕양구 토당동,70-0,2002-08-31,19,4,244,Y
고양시,아파트,능곡 풍림아이원 2단지,덕양구 토당동,60-0,2002-08-31,17,2,201,Y
고양시,아파트,능곡 현대홈타운 1차,덕양구 토당동,352-0,2002-07-29,25,7,650,Y
고양시,아파트,능곡 현대홈타운 2차,덕양구 토당동,53-44,2002-10-25,24,8,556,Y
고양시,아파트,"달빛마을 1단지(극동,진덕,경남,동부)",덕양구 화정동,858-0,1995-11-25,20,20,1784,Y
고양시,아파트,달빛마을 2단지(1)(라이프),덕양구 화정동,851-0,1996-09-10,20,11,1391,Y
고양시,아파트,달빛마을 2단지(2)(부영),덕양구 화정동,851-0,1996-07-20,20,11,1391,Y
고양시,아파트,달빛마을 3단지(신안),덕양구 화정동,865-0,1995-12-12,20,11,856,Y
고양시,아파트,달빛마을 4단지(현대),덕양구 화정동,868-0,1995-08-24,18,4,300,Y
고양시,아파트,대곡역 두산위브 1단지,덕양구 토당동,913-0,2023-01-17,34,5,493,Y
고양시,아파트,대곡역 두산위브 2단지,덕양구 토당동,914-0,2023-01-16,18,2,150,N
고양시,아파트,대곡역롯데캐슬엘클라식,덕양구 토당동,251-12,2022-12-29,29,12,834,Y
고양시,아파트,대동피렌체 주상복합,덕양구 주교동,615-0,2006-02-28,18,1,126,N
고양시,아파트,대화마을 1단지(킨텍스 자이),일산서구 대화동,1499-0,2002-05-23,16,6,329,Y
고양시,아파트,대화마을 2단지(한라),일산서구 대화동,1580-0,2002-09-06,20,6,460,Y
고양시,아파트,대화마을 3단지(동문)(킨텍스 굿모닝힐),일산서구 대화동,2573-0,2002-10-18,20,8,706,Y
고양시,아파트,"대화마을 5,6단지(킨텍스 휴먼빌)",일산서구 대화동,2570-0,2003-08-04,20,14,1255,Y
고양시,아파트,대화마을 7단지(킨텍스 양우내안애),일산서구 대화동,2579-0,2003-06-26,20,8,655,Y
고양시,아파트,"대화마을 8,9,10단지(아이파크)",일산서구 대화동,2580-0,2003-06-30,20,10,811,Y
고양시,아파트,더샵 일산퍼스트월드 1단지,일산동구 풍동,풍동2지구 A1블록,2025-07-28,36,8,866,Y
고양시,아파트,더샵 일산퍼스트월드 2단지,일산동구 풍동,풍동2지구 A2블록,2025-07-28,36,6,737,Y
고양시,아파트,더샵 일산퍼스트월드 3단지,일산동구 풍동,풍동2지구 A4블록,2025-06-30,34,4,487,Y
고양시,아파트,더퍼스트프라임 주상복합,덕양구 관산동,1015-0,2014-02-28,20,1,272,Y
고양시,아파트,덕은 LH 1단지,덕양구 덕은동,664-0,2022-04-15,14,4,364,N
고양시,아파트,덕이 동문 1차아파트,일산서구 덕이동,1106-0,2001-10-13,15,4,296,Y
고양시,아파트,덕이 동문 2차아파트,일산서구 덕이동,1037-0,2002-09-25,15,5,288,Y
고양시,아파트,덕이 동문 3차아파트,일산서구 덕이동,676-1,2003-11-25,15,4,270,Y
고양시,아파트,덕이 중앙하이츠빌아파트,일산서구 덕이동,1076-0,2001-10-31,15,4,236,Y
고양시,아파트,덕이 태영아파트,일산서구 덕이동,1521-0,2003-05-03,15,5,292,Y
고양시,아파트,도유아트빌 주상복합,덕양구 주교동,599-2,2001-03-12,6,1,44,N
고양시,아파트,동도센트리움 주상복합,덕양구 화정동,986-6,2004-04-10,20,1,118,N
고양시,아파트,동산마을 21단지(삼송 호반베르디움),덕양구 동산동,344-0,2012-07-31,25,5,405,Y
고양시,연립,동산마을 24단지(화성파크드림 파티오),덕양구 동산동,343-0,2016-11-23,4,16,349,Y
고양시,연립,동성파크빌연립,덕양구 고양동,12-04,2002-06-11,4,1,28,N
고양시,아파트,동양라파크아파트,일산서구 덕이동,382-13,2002-02-28,15,5,200,Y
고양시,연립,동양부로미연립,덕양구 행신동,205-25,1993-06-05,4,1,20,N
고양시,연립,동원2차주택,덕양구 주교동,596-1,1986-07-09,3,1,21,N
고양시,아파트,동원텔 주상복합,덕양구 화정동,969-0,1998-05-22,19,1,76,N
고양시,연립,로얄연립,덕양구 토당동,292-34,1981-12-15,3,2,36,N
고양시,아파트,루체하임 주상복합,덕양구 성사동,704-5,2018-12-05,15,1,145,N
고양시,아파트,명지캐럿86 주상복합,덕양구 성사동,501-2,2007-02-16,19,1,86,N
고양시,아파트,"무원마을 10단지(서광,라이프)",덕양구 행신동,692-0,1994-10-31,15,10,792,Y
고양시,아파트,무원마을 1단지(동광),덕양구 행신동,773-0,1995-05-13,15,6,662,Y
고양시,아파트,무원마을 2단지(삼보),덕양구 행신동,771-0,1994-11-05,15,6,330,Y
고양시,아파트,무원마을 3단지(동신),덕양구 행신동,769-0,1994-05-27,15,4,330,Y
고양시,아파트,"무원마을 5단지(쌍용,한진)",덕양구 행신동,767-0,1995-04-29,15,10,636,Y
고양시,아파트,무원마을 6단지(두산),덕양구 행신동,702-0,1994-11-25,15,10,688,Y
고양시,아파트,무원마을 7단지(신우),덕양구 행신동,699-0,1994-12-14,15,4,276,Y
고양시,아파트,무원마을 8단지(신안),덕양구 행신동,700-0,1994-12-10,15,3,328,Y
고양시,아파트,무원마을 9단지(기산),덕양구 행신동,697-0,1994-11-26,15,7,396,Y
고양시,아파트,문촌마을 10단지(동부) (주상복합),일산서구 주엽동,17-0,1996-10-29,25,3,252,Y
고양시,아파트,문촌마을 11단지(건영) (주상복합),일산서구 주엽동,15-0,1999-10-29,20,4,262,Y
고양시,아파트,문촌마을 12단지(유승그린) (주상복합),일산서구 주엽동,138-0,1996-11-01,25,3,272,Y
고양시,아파트,문촌마을 13단지(대우) (주상복합),일산서구 주엽동,136-0,1995-11-29,19,4,254,Y
고양시,아파트,문촌마을 14단지(세경),일산서구 주엽동,133-0,1999-02-03,15,6,720,Y
고양시,아파트,문촌마을 15단지(부영),일산서구 주엽동,135-0,1993-10-28,15,7,547,Y
고양시,아파트,문촌마을 16단지(뉴삼익),일산서구 주엽동,117-0,1994-05-26,20,12,956,Y
고양시,아파트,문촌마을 17단지(신안),일산서구 주엽동,120-0,1994-12-05,20,11,504,Y
고양시,아파트,문촌마을 18단지(대원),일산서구 주엽동,128-0,1995-10-28,19,7,378,Y
고양시,아파트,문촌마을 19단지(신우),일산서구 주엽동,126-0,1994-12-12,18,12,658,Y
고양시,아파트,문촌마을 1단지(우성),일산서구 주엽동,1-0,1994-12-19,20,14,892,Y
고양시,아파트,문촌마을 2단지(라이프),일산서구 주엽동,5-0,1994-11-26,15,7,348,Y
고양시,아파트,문촌마을 3단지(우성),일산서구 주엽동,32-0,1994-05-30,26,10,504,Y
고양시,아파트,문촌마을 4단지(삼익),일산서구 주엽동,29-0,1994-04-25,25,10,540,Y
고양시,아파트,문촌마을 5단지(남광한일),일산서구 주엽동,6-0,1994-05-09,20,8,432,Y
고양시,아파트,문촌마을 6단지(기산쌍용),일산서구 주엽동,8-0,1994-05-19,20,8,624,Y
고양시,아파트,문촌마을 7단지(1)(주공 임대),일산서구 주엽동,14-0,1995-09-02,20,10,1150,N
고양시,아파트,문촌마을 7단지(2)(주공 분양),일산서구 주엽동,14-0,1995-09-02,20,5,505,Y
고양시,아파트,문촌마을 8단지(동아),일산서구 주엽동,12-0,1994-06-30,19,10,738,Y
고양시,아파트,문촌마을 9단지(1)(주공 임대),일산서구 주엽동,23-0,1995-09-02,20,8,912,N
고양시,아파트,문촌마을 9단지(2)(주공 분양),일산서구 주엽동,23-0,1995-09-02,20,4,416,Y
고양시,아파트,미광아파트,덕양구 주교동,568-6,1985-10-18,5,1,25,N
고양시,아파트,미도아파트2차,덕양구 주교동,591-5,1985-12-18,4,1,48,N
고양시,아파트,미리내아파트,덕양구 현천동,06-03,2001-02-14,5,1,30,N
고양시,아파트,미미아파트,덕양구 성사동,"404-28,-31",1992-08-28,5,4,90,N
고양시,연립,발전연립,일산동구 중산동,25-115,1984-05-04,2,3,32,N
고양시,연립,밤가시마을 1단지(건영),일산동구 정발산동,1170-0,1996-03-13,4,5,120,Y
고양시,연립,밤가시마을 2단지,일산동구 정발산동,1144-0,1996-02-15,4,5,96,N
고양시,연립,밤가시마을 3단지,일산동구 정발산동,1141-0,1996-02-13,4,6,66,N
고양시,연립,밤가시마을 4단지(건영),일산동구 정발산동,1111-0,1996-02-15,4,10,208,Y
고양시,연립,밤가시마을 5단지,일산동구 정발산동,1116-0,1996-04-16,4,10,120,N
고양시,연립,밤가시마을 6단지,일산동구 정발산동,1260-0,1997-01-21,4,10,138,N
고양시,연립,밤가시마을 7단지(건영),일산동구 정발산동,1266-0,1996-03-22,4,12,216,Y
고양시,연립,밤가시마을 8단지,일산동구 정발산동,1269-0,1996-03-29,5,5,128,N
고양시,연립,밤가시마을 9단지,일산동구 정발산동,1354-0,1996-02-03,4,12,144,N
고양시,아파트,백마마을 1단지(삼성),일산동구 마두동,755-0,1993-01-29,25,15,772,Y
고양시,아파트,백마마을 2단지(극동삼환),일산동구 마두동,739-0,1992-09-29,25,13,806,Y
고양시,아파트,"백마마을 3단지(금호,한양)",일산동구 마두동,732-0,1995-04-28,21,10,1116,Y
고양시,아파트,"백마마을 4단지(한양,청구)",일산동구 마두동,734-0,1994-07-30,22,12,668,Y
고양시,아파트,"백마마을 5단지(쌍용,한성)",일산동구 마두동,717-0,1994-11-14,19,16,1152,Y
고양시,아파트,백마마을 6단지(벽산),일산동구 마두동,719-0,1994-08-30,19,7,438,Y
고양시,연립,백송마을 10단지(건영),일산동구 백석동,1145-0,1996-04-08,4,8,152,Y
고양시,아파트,백송마을 1단지(삼부),일산동구 백석동,1187-0,1993-01-29,18,4,222,Y
고양시,아파트,백송마을 2단지(대림),일산동구 백석동,1186-0,1993-03-31,20,14,862,Y
고양시,아파트,백송마을 3단지(1)(우성),일산동구 백석동,1183-0,1992-09-29,15,6,426,Y
고양시,아파트,백송마을 3단지(2)(한신),일산동구 백석동,1183-0,1992-09-29,15,6,436,Y
고양시,아파트,"백송마을 5단지(삼호,풍림)",일산동구 백석동,1190-0,1992-08-29,15,12,786,Y
고양시,아파트,"백송마을 6단지(대우,벽산)",일산동구 백석동,1135-0,1994-06-29,18,6,456,Y
고양시,아파트,백송마을 7단지(임광),일산동구 백석동,1136-0,1994-05-25,15,9,617,Y
고양시,아파트,"백송마을 8단지(선경,코오롱)",일산동구 백석동,1139-0,1994-10-28,18,6,604,Y
고양시,아파트,백송마을 9단지(두산),일산동구 백석동,1140-0,1994-09-02,19,6,462,Y
고양시,아파트,별빛마을 10단지(건영),덕양구 화정동,951-0,1996-05-30,20,13,1080,Y
고양시,아파트,"별빛마을 7단지(청구,고려)",덕양구 화정동,953-0,1995-11-10,20,16,1136,Y
고양시,아파트,별빛마을 8단지(부영),덕양구 화정동,952-0,1995-11-13,20,10,1232,Y
고양시,아파트,"별빛마을 9단지(기산,벽산,코오롱,한일)",덕양구 화정동,948-0,1995-11-10,20,24,2008,Y
고양시,아파트,별장아파트,덕양구 토당동,19-0,1985-11-02,5,2,75,N
고양시,연립,보라연립,덕양구 고양동,"1072-0, 1073-0",1986-05-22,3,8,123,N
고양시,아파트,"사리현 동문 1,2차아파트(굿모닝힐)",일산동구 사리현동,"186-0, 187-0",2004-11-12,15,8,557,Y
고양시,아파트,사리현 동문 3차아파트(굿모닝힐),일산동구 사리현동,189-0,2005-04-13,15,5,266,Y
고양시,아파트,사리현 현대그린아파트(덕립),일산동구 사리현동,466-1,1989-07-07,5,5,380,Y
고양시,아파트,산들마을 1단지,일산동구 중산동,1656-0,2004-01-29,19,4,148,N
고양시,아파트,"산들마을 2단지(대림,삼정)",일산동구 중산동,1651-0,2002-09-19,24,8,692,Y
고양시,아파트,산들마을 3단지(대림),일산서구 일산동,1654-0,2003-02-27,25,6,579,Y
고양시,아파트,산들마을 5단지(동문),일산서구 일산동,1670-0,2004-10-15,27,8,926,Y
고양시,아파트,산들마을 6단지(대교),일산서구 일산동,1686-0,2005-03-22,25,5,466,Y
고양시,연립,산수그린빌라,덕양구 고양동,"199-6, 201-2",1986-12-29,3,4,108,N
고양시,아파트,삼남아파트,일산서구 일산동,587-1,1986-09-05,5,2,94,N
고양시,연립,"삼남연립(가,나동)",일산서구 일산동,"583-19,-42",1986-07-02,3,2,57,N
고양시,연립,삼남연립(다동),일산서구 일산동,587-3,1986-07-02,3,1,30,N
고양시,아파트,삼림아파트,덕양구 주교동,569-10,1988-12-27,5,1,25,N
고양시,아파트,삼송 LH 10단지,덕양구 원흥동,614-0,2022-04-27,10,4,777,N
고양시,아파트,삼송 스타클래스 아파트(극동),덕양구 삼송동,331-0,2014-12-09,27,9,627,Y
고양시,아파트,삼송 아이파크 3차 주상복합,덕양구 원흥동,619-0,2019-07-25,29,2,162,Y
고양시,연립,삼송 우미라피아노 3BL,덕양구 오금동,628-0,2021-10-15,4,11,176,Y
고양시,연립,삼송 우미라피아노(101~105동) 9-1BL,덕양구 오금동,618-0,2021-10-15,3,5,60,N
고양시,연립,삼송 우미라피아노(201~209동) 9-2BL(W),덕양구 오금동,619-0,2021-10-15,3,9,113,N
고양시,연립,삼송 우미라피아노(210~213동) 9-2BL(E),덕양구 오금동,619-3,2021-10-15,3,4,55,N
고양시,연립,삼송 우미라피아노(601~605동) 6BL,덕양구 오금동,632-0,2021-10-15,4,5,75,N
고양시,연립,삼송 우미라피아노(701~704) 7BL,덕양구 오금동,641-0,2021-10-19,4,4,48,Y
고양시,아파트,삼송 원흥마을 11단지,덕양구 원흥동,615-0,2016-12-07,17,3,832,N
고양시,아파트,삼송 원흥마을 12단지,덕양구 원흥동,617-0,2019-07-11,20,8,1372,N
고양시,아파트,삼송 원흥마을 LH 13단지,덕양구 원흥동,600-0,2022-03-16,5,16,947,N
고양시,연립,삼송 자이더빌리지(501~520동) 5BL,덕양구 오금동,"642-0, 644-0, 645-0",2021-02-08,3,20,178,Y
고양시,연립,삼송 자이더빌리지(601~604동) 6-1BL,덕양구 오금동,663-2,2021-01-29,3,4,58,N
고양시,연립,삼송 자이더빌리지(611~624동) 6-4BL,덕양구 오금동,668-0,2021-04-07,3,14,109,N
고양시,연립,삼송 자이더빌리지(631~639동) 6-3BL,덕양구 오금동,670-0,2021-04-07,3,9,73,N
고양시,연립,삼송 테라비아타,덕양구 오금동,585-0,2020-11-26,4,6,80,N
고양시,아파트,삼송마을 15단지(계룡 리슈빌 센트럴파크),덕양구 원흥동,670-0,2012-12-10,29,11,1024,Y
고양시,아파트,삼송마을 17단지(동원),덕양구 삼송동,306-0,2012-09-01,21,10,598,Y
고양시,아파트,삼송마을 18단지,덕양구 삼송동,332-0,2015-06-29,20,19,1890,N
고양시,아파트,삼송마을 20단지(아이파크 2차),덕양구 삼송동,311-0,2015-08-27,29,10,1066,Y
고양시,아파트,삼송마을 LH 14단지,덕양구 원흥동,669-0,2014-08-01,19,8,930,N
고양시,아파트,삼송마을 LH 16단지,덕양구 원흥동,677-0,2013-11-25,18,11,1201,N
고양시,연립,삼송비아티움,덕양구 오금동,595-0,2023-02-28,4,32,528,N
고양시,아파트,삼송역 현대헤리엇 (주상복합),덕양구 삼송동,293-0,2020-10-16,41,2,364,Y
고양시,아파트,삼송원흥역 동원2차 로얄듀크비스타 (주상복합),덕양구 원흥동,635-0,2020-04-27,36,3,312,Y
고양시,아파트,삼송원흥역 센트럴푸르지오 (주상복합),덕양구 원흥동,630-0,2018-07-30,38,4,450,Y
고양시,연립,삼진연립,덕양구 행신동,173-1,1982-05-24,3,4,74,N
고양시,연립,삼천리연립,덕양구 토당동,Apr-43,1981-05-06,2,3,20,N
고양시,아파트,삼혜그린뷰 주상복합,덕양구 주교동,609-1,2003-06-24,14,1,48,N
고양시,아파트,삼화그린아파트(A동),덕양구 성사동,494-29,1988-12-17,5,1,70,N
고양시,아파트,삼화그린아파트(B동),덕양구 성사동,494-5,1988-12-17,5,1,35,N
고양시,연립,삼화그린연립,덕양구 토당동,399-0,1983-09-19,3,3,51,N
고양시,연립,삼화주택,덕양구 토당동,"392-1,-3",1982-03-03,3,4,63,N
고양시,아파트,"샘터마을 1단지(화성,동신,효성)",덕양구 행신동,973-0,1997-09-20,22,12,822,Y
