대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
경기도 수원시 팔달구 팔달로1가 74번지,41115,12000,0,0074,0000,10841167374,1,일반,1,총괄표제부,1,신대장,경기도 수원시 팔달구 정조로801번길 10 (팔달로1가),,,,,0,411154328282,12001,0,10,0,325,224.34,69.03,755.85,656.48,200.76,15000,숙박시설,"숙박시설, 근린생활시설, 주택",0,1,2,0,0,1,0,0,0,0,1,11.5,0,0,19781216,,19790723,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 팔달구 팔달로1가 86번지,41115,12000,0,0086,0000,10841167340,1,일반,1,총괄표제부,1,신대장,경기도 수원시 팔달구 정조로805번길 7 (팔달로1가),,,,,0,411154328283,12001,0,7,0,0,178.95,0,387.32,345.47,0,03000,제1종근린생활시설,"주택, 근린생활시설",0,1,2,0,0,0,0,0,0,0,0,0,0,0,19770310,,19770913,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 팔달구 팔달로2가 103-2번지,41115,12100,0,0103,0002,10841100425011,1,일반,1,총괄표제부,1,신대장,경기도 수원시 팔달구 정조로795번길 12 (팔달로2가),,,,,0,411154328279,12101,0,12,0,0,0,0,232.49,232.49,0,01000,단독주택,주택및여관,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 팔달구 팔달로2가 109-1번지,41115,12100,0,0109,0001,10841167102,1,일반,1,총괄표제부,1,신대장,경기도 수원시 팔달구 정조로791번길 10 (팔달로2가),,,,,0,411154328278,12101,0,10,0,504,238.85,47.39,337.45,337.45,66.95,04000,제2종근린생활시설,"제2종근린생활시설, 단독주택",0,1,2,0,0,2,0,0,0,0,0,0,2,23,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 팔달구 팔달로3가 116번지,41115,12200,0,0116,0000,10841100224585,1,일반,1,총괄표제부,1,신대장,경기도 수원시 팔달구 행궁로 68 (팔달로3가),팔달사,,,,0,411153176017,12202,0,68,,3632,828.26,22.8,989.79,637.03,17.54,06000,종교시설,종교시설(사찰),0,0,10,0,0,7,0,0,0,0,0,0,7,112.7,20080602,20080617,20090303,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 팔달구 남창동 14번지,41115,12300,0,0014,0000,10841100199985,1,일반,1,총괄표제부,1,신대장,경기도 수원시 팔달구 행궁로 11 (남창동),,,,,1,411153176017,12303,0,11,,1717,1092.195,63.61,4637.43,2942.62,171.38,05000,문화및집회시설,"문화및집회시설, 숙박시설, 근린생활시설",0,0,2,0,0,40,0,0,0,0,0,0,40,460,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 팔달구 남창동 24-1번지,41115,12300,0,0024,0001,10841167254,1,일반,1,총괄표제부,0,구대장,경기도 수원시 팔달구 정조로801번길 30 (남창동),,,,,1,411154328282,12303,0,30,0,390,144.4,37.03,164.4,164.4,42.15,01000,단독주택,"주택, 근린생활시설",0,3,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 팔달구 남창동 55-14번지,41115,12300,0,0055,0014,10841167091,1,일반,1,총괄표제부,0,구대장,경기도 수원시 팔달구 행궁로26번길 10-16 (남창동),용궁빌라,,,,0,411154328414,12301,0,10,16,317,160.34,50.58,639.44,479.58,151.29,01000,단독주택,단독주택,16,16,2,0,0,16,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 팔달구 남창동 99-1번지,41115,12300,0,0099,0001,10841100427041,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,11,5,1166,207.94,0,333.96,0,0,01000,단독주택,"주택,창고",0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 팔달구 남창동 126번지,41115,12300,0,0126,0000,10841100312313,1,일반,1,총괄표제부,1,신대장,,남창초등학교,,,,4,,,0,,,8571,1543.81,18.01,4037.77,3987.37,46.52,10000,교육연구시설,교육연구시설,0,0,4,1,2.8,20,0,0,0,0,0,0,20,264.5,,,19960314,,,,,,0,,0,0,,0,,0,20220909
