apt_id,apt_name,lon,lat
연무성원_127.0294,연무성원,127.0294,37.2985
황골주공2단지_127.0813,황골주공2단지,127.0813,37.2649
동성_126.956,동성,126.956,37.2709
한일타운_127.0047,한일타운,127.0047,37.3063
삼익_127.0176,삼익,127.0176,37.261
벽산·현대_126.9962,벽산·현대,126.9962,37.2932
원천주공1단지_127.0566,원천주공1단지,127.0566,37.2666
꽃뫼노을마을_장안_126.99,꽃뫼노을마을 장안,126.99,37.2909
백설마을_현대.코오롱_126.9889,백설마을 현대.코오롱,126.9889,37.2967
화서역우방센트럴파크_126.9988,화서역우방센트럴파크,126.9988,37.2897
원천레이크파크_127.0586,원천레이크파크,127.0586,37.2671
꽃뫼노을마을_풍림_126.9877,꽃뫼노을마을 풍림,126.9877,37.2894
극동.풍림_127.0676,극동.풍림,127.0676,37.2503
꽃뫼노을마을_신안_126.9937,꽃뫼노을마을 신안,126.9937,37.2931
성지.동양고속_126.9911,성지.동양고속,126.9911,37.2951
탑동우방파크타운_126.9735,탑동우방파크타운,126.9735,37.2682
성원_126.9757,성원,126.9757,37.2836
꽃뫼버들마을_신동아_126.9866,꽃뫼버들마을 신동아,126.9866,37.2874
코오롱하늘채_126.9751,코오롱하늘채,126.9751,37.2852
연꽃마을_풍림_126.9924,연꽃마을 풍림,126.9924,37.2984
벽적골주공9단지_127.0672,벽적골주공9단지,127.0672,37.2481
백설마을_삼환.나우빌_126.9895,백설마을 삼환.나우빌,126.9895,37.2942
평동동남_127.0001,평동동남,127.0001,37.2622
대한대우_127.0034,대한대우,127.0034,37.2646
신원미주_127.0662,신원미주,127.0662,37.2523
백설마을_효성_126.9907,백설마을 효성,126.9907,37.2936
거산_126.9861,거산,126.9861,37.2479
상우_126.9859,상우,126.9859,37.2535
우남(1차)_127.034,우남(1차),127.034,37.2476
연꽃마을_벽산_126.9953,연꽃마을 벽산,126.9953,37.2981
망포늘푸른벽산_127.0605,망포늘푸른벽산,127.0605,37.2389
건영2차_127.0703,건영2차,127.0703,37.2515
권선대우_127.0388,권선대우,127.0388,37.2485
꽃뫼노을마을_대동_126.9942,꽃뫼노을마을 대동,126.9942,37.292
우남(2차)_127.0367,우남(2차),127.0367,37.2474
두견마을_3차_벽산_126.9956,두견마을 3차 벽산,126.9956,37.295
현대_127.0374,현대,127.0374,37.2494
오목천청구1차_126.9674,오목천청구1차,126.9674,37.2406
꽃뫼노을마을_한마루_126.9887,꽃뫼노을마을 한마루,126.9887,37.2911
삼성_127.0282,삼성,127.0282,37.2353
한솔_127.0267,한솔,127.0267,37.2358
꽃뫼노을마을_한국_126.9918,꽃뫼노을마을 한국,126.9918,37.2922
일월청구_126.9767,일월청구,126.9767,37.2857
대림_127.038,대림,127.038,37.2472
권선3지구_주공1단지_127.0338,권선3지구 주공1단지,127.0338,37.2481
엘지_126.98,엘지,126.98,37.2881
비단마을_영풍마드레빌_126.9833,비단마을 영풍마드레빌,126.9833,37.2981
_CJ_127.0287, CJ,127.0287,37.2767
권선5단지_상록_127.0363,권선5단지 상록,127.0363,37.2499
꽃뫼양지마을_대우_126.9848,꽃뫼양지마을 대우,126.9848,37.2848
청솔마을_한라_126.9844,청솔마을 한라,126.9844,37.2939
백설주공1단지_126.9912,백설주공1단지,126.9912,37.2958
백설주공2단지_126.992,백설주공2단지,126.992,37.2962
매탄권선역_리버파크_127.0402,매탄권선역 리버파크,127.0402,37.2506
권선3단지_상록_127.038,권선3단지 상록,127.038,37.2507
권선3지구_써미트빌_127.0371,권선3지구 써미트빌,127.0371,37.2466
영통삼성래미안_127.08,영통삼성래미안,127.08,37.2545
대월마을_대림진흥_126.9882,대월마을 대림진흥,126.9882,37.3006
비단마을_베스트타운_126.9816,비단마을 베스트타운,126.9816,37.2988
비단마을_신명_126.982,비단마을 신명,126.982,37.3012
조원주공뉴타운1단지_127.0152,조원주공뉴타운1단지,127.0152,37.3045
화서성원상떼빌_127.0049,화서성원상떼빌,127.0049,37.2856
동수원자이1차_127.0529,동수원자이1차,127.0529,37.2363
매탄주공그린빌6단지_127.0423,매탄주공그린빌6단지,127.0423,37.2537
조원주공뉴타운2단지_127.0178,조원주공뉴타운2단지,127.0178,37.3044
매탄주공그린빌1단지_127.0452,매탄주공그린빌1단지,127.0452,37.2614
매탄주공그린빌2단지_127.0479,매탄주공그린빌2단지,127.0479,37.2609
꽃뫼버들마을_진흥_126.9835,꽃뫼버들마을 진흥,126.9835,37.29
청솔마을_SK한화_126.9849,청솔마을 SK한화,126.9849,37.2953
우남퍼스트빌_127.043,우남퍼스트빌,127.043,37.2583
비단마을_현대성우우방_126.9854,비단마을 현대성우우방,126.9854,37.2962
꽃뫼버들마을_코오롱_126.9816,꽃뫼버들마을 코오롱,126.9816,37.2848
영통롯데_127.0622,영통롯데,127.0622,37.2467
꽃뫼버들마을_금강_126.9826,꽃뫼버들마을 금강,126.9826,37.2885
곡반정_현대아이파크_127.0286,곡반정 현대아이파크,127.0286,37.2371
천천삼성래미안_126.9757,천천삼성래미안,126.9757,37.298
동수원쌍용스윗닷홈1차_127.0533,동수원쌍용스윗닷홈1차,127.0533,37.2433
매탄주공그린빌3단지_127.0438,매탄주공그린빌3단지,127.0438,37.257
매탄주공그린빌4단지_127.044,매탄주공그린빌4단지,127.044,37.256
매탄주공그린빌5단지_127.0415,매탄주공그린빌5단지,127.0415,37.255
망포역아이파크_127.0577,망포역아이파크,127.0577,37.2433
꽃뫼양지마을_현대_126.9855,꽃뫼양지마을 현대,126.9855,37.2874
동수원자이2차_127.0532,동수원자이2차,127.0532,37.2396
망포마을_벽산e빌리지_127.0471,망포마을 벽산e빌리지,127.0471,37.2378
청솔마을_주공6단지_126.986,청솔마을 주공6단지,126.986,37.2929
오목천청구2차_126.9619,오목천청구2차,126.9619,37.2439
영통3차_풍림아이원_127.0662,영통3차 풍림아이원,127.0662,37.2448
대월마을_주공_126.9862,대월마을 주공,126.9862,37.3
망포마을_현대2차아이파크_127.052,망포마을 현대2차아이파크,127.052,37.2395
신성미소지움_127.037,신성미소지움,127.037,37.2776
동수원자이3차_127.0558,동수원자이3차,127.0558,37.2372
월드메르디앙_127.0364,월드메르디앙,127.0364,37.2803
동수원쌍용스윗닷홈3차_127.0474,동수원쌍용스윗닷홈3차,127.0474,37.239
동수원쌍용스윗닷홈2차_127.0525,동수원쌍용스윗닷홈2차,127.0525,37.2343
한라비발디2단지_126.9402,한라비발디2단지,126.9402,37.2921
한라비발디1단지_126.9389,한라비발디1단지,126.9389,37.2909
교동풍림아이원_127.0123,교동풍림아이원,127.0123,37.2701
금강에스쁘아_127.0051,금강에스쁘아,127.0051,37.2926
율전벽산블루밍_126.9658,율전벽산블루밍,126.9658,37.3049
밤꽃마을주공아파트_126.9668,밤꽃마을주공아파트,126.9668,37.3069
밤꽃마을뜨란채_126.9689,밤꽃마을뜨란채,126.9689,37.3067
방죽마을_영통뜨란채_127.0658,방죽마을 영통뜨란채,127.0658,37.2432
"서수원쌍용스윗닷홈(1차,2차)_126.937","서수원쌍용스윗닷홈(1차,2차)",126.937,37.2922
우림필유_126.9777,우림필유,126.9777,37.2483
율전이안_126.967,율전이안,126.967,37.2963
상송마을주공_126.9639,상송마을주공,126.9639,37.2404
센트라우스_126.9948,센트라우스,126.9948,37.2671
희훈루체팰리스_127.0046,희훈루체팰리스,127.0046,37.3069
오목천동_푸르지오2단지_126.9685,오목천동 푸르지오2단지,126.9685,37.2436
오목천동_푸르지오1단지_126.967,오목천동 푸르지오1단지,126.967,37.2466
수원로얄팰리스_127.0083,수원로얄팰리스,127.0083,37.2961
현대힐스테이트_127.0419,현대힐스테이트,127.0419,37.2721
경남아너스빌_126.9974,경남아너스빌,126.9974,37.3016
한라녹턴_127.0154,한라녹턴,127.0154,37.2551
영통아이파크_127.0711,영통아이파크,127.0711,37.266
"영통마젤란21(1단지,2단지)_127.0628","영통마젤란21(1단지,2단지)",127.0628,37.2409
"영조아름다운나날(1단지,2단지)_126.9689","영조아름다운나날(1단지,2단지)",126.9689,37.241
정자벽산블루밍_126.9945,정자벽산블루밍,126.9945,37.3054
영통_이-편한세상_127.0675,영통 이-편한세상,127.0675,37.2461
동수원신도브래뉴_127.0368,동수원신도브래뉴,127.0368,37.2784
"남광하우스토리(1차,2차)_126.9654","남광하우스토리(1차,2차)",126.9654,37.2453
정자_케이티_이-편한세상_126.9981,정자 케이티 이-편한세상,126.9981,37.2964
매탄위브하늘채_127.0395,매탄위브하늘채,127.0395,37.2615
대우월드마크_127.0756,대우월드마크,127.0756,37.255
삼정라츠_127.061,삼정라츠,127.061,37.2383
수원시청역SKVIEW_127.026,수원시청역SKVIEW,127.026,37.2579
화서역푸르지오더에듀포레_126.9806,화서역푸르지오더에듀포레,126.9806,37.2912
화서위브하늘채_127.0,화서위브하늘채,127.0,37.2879
수정_127.0306,수정,127.0306,37.2731
서수원자이_126.9597,서수원자이,126.9597,37.2961
인계파밀리에_127.0232,인계파밀리에,127.0232,37.2704
화서블루밍푸른숲_127.0011,화서블루밍푸른숲,127.0011,37.2819
광교산임광그대가_127.0134,광교산임광그대가,127.0134,37.307
인계극동스타클래스_127.0299,인계극동스타클래스,127.0299,37.2733
래미안_노블클래스_127.0353,래미안 노블클래스,127.0353,37.2694
권선데시앙_127.0083,권선데시앙,127.0083,37.2584
수원권선_어울림_127.01,수원권선 어울림,127.01,37.2597
한화꿈에그린파크_127.0346,한화꿈에그린파크,127.0346,37.2598
매탄_e-편한세상_127.0528,매탄 e-편한세상,127.0528,37.2694
kcc스위첸_127.0119,kcc스위첸,127.0119,37.3068
센트럴하이츠_127.0589,센트럴하이츠,127.0589,37.2419
화서역_동문굿모닝힐_126.9951,화서역 동문굿모닝힐,126.9951,37.2846
그대가_프리미어_127.0537,그대가 프리미어,127.0537,37.2447
그대가_센트럴파크_127.0566,그대가 센트럴파크,127.0566,37.2426
서희스타힐스3단지_126.9668,서희스타힐스3단지,126.9668,37.3046
