대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
경기도 수원시 권선구 서둔동 294-3번지,41113,13100,0,0294,0003,1084180829,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 수인로9번길 52 (서둔동),서평초등학교,,,,0,411134328484,13101,0,52,,10500.3,2074.63,19.76,8007.51,8007.51,76.26,10000,교육연구시설,교육연구및복지시설,0,0,2,1,31.2,42,0,0,0,0,0,0,42,483,20050328,20050404,20060309,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 323번지,41113,13100,0,0323,0000,1084181530,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,87.97,0,87.97,87.97,0,01000,단독주택,단독주택,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 323-64번지,41113,13100,0,0323,0064,1084181531,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 세화로128번길 29 (서둔동),,,,,0,411134325360,13101,0,29,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 323-90번지,41113,13100,0,0323,0090,1084181533,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 벌터로18번길 8 (서둔동),,,,,0,411134325226,13101,0,8,0,0,169.91,0,269.19,269.19,0,01000,단독주택,단독주택,0,2,2,4,7.63,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 333-11번지,41113,13100,0,0333,0011,1084181219,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 벌터로14번길 6 (서둔동),,,,,0,411134325224,13101,0,6,0,0,113.28,0,209.73,209.73,0,01000,단독주택,단독주택,0,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 333-19번지,41113,13100,0,0333,0019,1084181188,2,집합,1,총괄표제부,0,구대장,경기도 수원시 권선구 벌터로 10 (서둔동),광림상아빌라,,,,0,411133175020,13101,0,10,,554,225.31,40.67,817.48,734.95,132.66,02000,공동주택,공동주택,17,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 333-19번지,41113,13100,0,0333,0019,1084181216,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 벌터로 10 (서둔동),,,,,0,411133175020,13101,0,10,0,0,59.67,0,59.67,59.67,0,01000,단독주택,단독주택,0,2,2,1,0.99,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 333-36번지,41113,13100,0,0333,0036,1084181214,1,일반,1,총괄표제부,1,신대장,경기도 수원시 권선구 세화로121번길 25 (서둔동),,,,,0,411134325359,13101,0,25,,0,1309.13,0,1859.21,1780.01,0,17000,공장,공장,0,5,5,1,18,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 361번지,41113,13100,0,0361,0000,1084181441,2,집합,1,총괄표제부,0,구대장,경기도 수원시 권선구 여기산로 54 (서둔동),동남아파트,,,,0,411133175036,13101,0,54,,16525.1,4559.92,27.59,23614.58,21523.92,130.24,02000,공동주택,아파트,380,0,9,1,90,63,0,0,0,0,0,0,63,945,,,,,,,,,0,,0,0,,0,,0,20220909
경기도 수원시 권선구 서둔동 361-1번지,41113,13100,0,0361,0001,1084181442,2,집합,1,총괄표제부,0,구대장,경기도 수원시 권선구 여기산로 42 (서둔동),성일아파트,,,,0,411133175036,13101,0,42,,16524.8,4345.71,26.29,22723.98,20546.98,12.34,02000,공동주택,아파트,370,0,8,1,64,60,0,0,0,0,0,0,60,900,,,,,,,,,0,,0,0,,0,,0,20220909
